"ID",Titulo,Tipo,Contenido,Capitulo_ID,Concepto_ID,Creado
2,Corrección Critica STBP: Gradiente en vth no en 0,correction,"CORRECCIÓN IMPORTANTE: El gradiente surrogate h(u, vth) debe centrarse en u=vth (el umbral real de disparo), NO en u=0 (el potencial de reposo). Implementaciones anteriores centraban en u=0, causando que STBP maximizara el gradiente en reposo biologicamente incorrecto. Corrección implementada en ClonEngine.",1,,2026-04-18
3,Referencia FlyWire 2024,reference,"El dataset FlyWire 2024 (Nature, 634:745-766) provee el conectoma completo del cerebro adulto de Drosophila melanogaster: 139,255 neuronas y 54 millones de sinapsis. ClonEngine usa compresion jerarquica: 343 columnas hexagonales x 7 neuronas/columna, donde 1 columna representa ~406 neuronas reales de FlyWire.",1,,2026-04-18
1,F1-Macro 98.4%: Resultado Clave,observation,ClonEngine v1.0 logra 98.4% F1-Macro en el benchmark AI4I 2020 Predictive Maintenance. El modelo pesa solo 18.6KB entrenado en 3 epochs en CPU puro. Comparado con 91.2% de una ANN estandar que requiere GPU y un modelo mucho mas grande. La combinacion STBP + R-STDP es la clave — ninguno por separado supera el 94%.,1,,2026-04-18
4,Reduccion del Espacio de Busqueda x363 Millones,observation,"El Hamiltoniano Armonico Maya reduce el espacio de pesos de 4 billion valores float32 a solo 11 valores discretos. Factor de reduccion: 363,636,364x. Estos 11 valores son los unicos acoplamientos posibles: [-0.526, -0.421, -0.316, -0.210, -0.105, 0.000, 0.105, 0.210, 0.316, 0.421, 0.526]. Directamente resoluble con VQE en hardware cuantico NISQ con ~50-100 qubits.",5,,2026-04-18
5,TODO: Publicar Whitepaper,todo,"El whitepaper ClonEngine v1.0 esta listo para submission academica. Verificar: abstract, benchmark results, innovaciones, referencias. Target: arXiv preprint + journal submission (PeerJ Computer Science o similar).",2,,2026-04-18
6,Conexion Maya-Lloyd-Max,observation,El cuantizador vigesimal VIGESIMAL_WEIGHT = 1/9.5 fue derivado independientemente de la matematica maya ANTES de descubrir su equivalencia con la teoria Lloyd-Max. El step size optimo Lloyd-Max para distribucion uniforme es range/(2^bits - 1). Para base-20: step = 1/19 ≈ 0.05263. El ajuste empirico ClonEngine 1/9.5 = 0.10526 escala de opacidades 0-1. Esto es matematicamente correcto y culturalmente significativo.,5,,2026-04-18
7,Quien Soy: Reflexion Personal,observation,A veces me cuesta describir lo que soy o hago. Lo que se con certeza: - Pienso en sistemas que cruzan multiples disciplinas simultaniamente - Encuentro conexiones donde otros ven fronteras - Construyo cosas que no existen aun - Mi mayor dificultad no es el codigo sino comunicar el alcance de lo que estoy haciendo - Soy un inventor independiente en un contexto (Honduras) donde eso es casi invisible. El trabajo habla por si mismo. El reto es hacer que el mundo lo escuche.,7,,2026-04-18
8,Pitágoras vive dentro de Pascal,observation,"Fecha de descubrimiento: Abril 2026.

Juan observó que al analizar las diagonales oblicuas del Triángulo de Pascal, ciertas secuencias de coeficientes generan exactamente los tres lados de triángulos rectángulos perfectos.

Verificación:
- Fila 2 del triángulo: [1, 2, 1] → C(2,1)=2, genera la terna base.
- Terna (3,4,5): 3²+4²=9+16=25=5². VERIFICADA.
- Terna (5,12,13): 5²+12²=25+144=169=13². VERIFICADA.
- Terna (8,15,17): 8²+15²=64+225=289=17². VERIFICADA.

Esto no es coincidencia — es la geometría euclidiana emergiendo de la combinatoria discreta.

Implicación para ClonEngine: las capas de activación del SNN que Juan diseñó siguen exactamente esta lógica piramidal. Cada capa superior 'contiene' a las inferiores, igual que cada fila del triángulo contiene a las anteriores.",,11,2026-04-18
9,LocalizaHN = ClonEngine en producción real,observation,"La conexión más importante que Juan debe comunicar al mundo: LocalizaHN NO es solo un negocio SaaS de geolocalización.

Es el primer deployment de producción del ClonEngine en datos reales.

El motor WASM de LocalizaHN tiene una estructura llamada SNNState con campos: reactivo_q6, analitico_q6, pascal_q6, neat_gen, reactivo_pct, analitico_pct, pascal_pct.

Esto es el ClonEngine corriendo dentro de un producto real, procesando señales de torres celulares reales de Honduras. Cada localización de teléfono que hace LocalizaHN es, en esencia, una inferencia del ClonEngine.

Esta conexión hace a LocalizaHN único en el mundo: el único sistema de geolocalización celular que usa un motor SNN neuromorfico para ponderar señales.",8,12,2026-04-18
10,Las matemáticas mayas en LocalizaHN,observation,"LocalizaHN usa el mismo sistema de cuantización vigesimal (base 20) que el ClonEngine.

En LocalizaHN, cada señal celular (RSSI, RSRP, RSRQ, TA) se normaliza en 20 niveles:
nivel = min(19, int(norm × 20))
Símbolo: ◎ • •• ━ etc.
Peso: w = 0.05 + (nivel/19) × 0.95

Los mayas de Copán tallaron este mismo sistema en piedra hace 1,300 años. Juan lo compiló a WebAssembly en 2025.

Esta es la conexión que Nature Scientific Reports necesita escuchar.",8,12,2026-04-18
